SiteRef,site_name,site_description,state_highway,sitetype,lat,lon,no_location,count_date,day_name,is_weekend,total_count,heavy_count,light_count,lanes_reporting,baseline_median,baseline_mad,baseline_n,ratio,robust_z,severity,direction
00200890,South of Waingawa Bridge,South of Waingawa Bridge,2,Regional Continuous,-40.965596684725504,175.60779193023703,false,2026-04-20,Monday,false,6381.0,532.0,5849.0,2,18408.0,206.0,14,0.347,-39.379,HIGH,DROP
00200890,South of Waingawa Bridge,South of Waingawa Bridge,2,Regional Continuous,-40.965596684725504,175.60779193023703,false,2026-04-03,Friday,false,11622.0,501.0,11121.0,2,18408.0,206.0,14,0.631,-22.219,HIGH,DROP
00200890,South of Waingawa Bridge,South of Waingawa Bridge,2,Regional Continuous,-40.965596684725504,175.60779193023703,false,2026-04-06,Monday,false,12192.0,504.5,11687.5,2,18408.0,206.0,14,0.662,-20.353,HIGH,DROP
00210965,KELSON - Telemetry Site 99 - SB Lanes,KELSON - Telemetry Site 99 - SB Lanes,2,Telemetry,-41.18295836375429,174.94195132186667,false,2026-04-21,Tuesday,false,11022.0,528.5,10493.5,2,20685.0,480.0,22,0.533,-13.578,HIGH,DROP
00210980,,NGAURANGA SH2 - WTOC - SB,,,,,true,2026-04-30,Thursday,false,25000.0,1166.0,23834.0,2,11144.5,716.0,14,2.243,13.052,HIGH,SURGE
01N11071,Thorndon Overbridge - SB,Thorndon Overbridge - SB,1N,Regional Continuous,-41.27133276370202,174.7789147213871,false,2026-04-12,Sunday,true,5522.0,51.0,5471.0,3,22645.0,889.0,5,0.244,-12.991,HIGH,DROP
00210972,Dowse Interchange - SB Through Traffic,Dowse Interchange - SB Through Traffic,2,Regional Continuous,-41.21697201319148,174.88065086215036,false,2026-04-21,Tuesday,false,8533.0,,8533.0,2,15829.0,396.5,22,0.539,-12.411,HIGH,DROP
00210980,,NGAURANGA SH2 - WTOC - SB,,,,,true,2026-04-29,Wednesday,false,24247.0,1141.5,23105.5,2,11144.5,716.0,14,2.176,12.343,HIGH,SURGE
00210965,KELSON - Telemetry Site 99 - SB Lanes,KELSON - Telemetry Site 99 - SB Lanes,2,Telemetry,-41.18295836375429,174.94195132186667,false,2026-04-03,Friday,false,12100.0,269.0,11831.0,2,20685.0,480.0,22,0.585,-12.064,HIGH,DROP
01N11080,,NGAURANGA SH1 - WTOC - SB,,,,,true,2026-04-25,Saturday,true,9788.0,37.0,9751.0,2,7594.0,138.0,4,1.289,10.723,HIGH,SURGE
