SiteRef,site_name,site_description,state_highway,sitetype,lat,lon,no_location,count_date,day_name,is_weekend,total_count,heavy_count,light_count,lanes_reporting,baseline_median,baseline_mad,baseline_n,ratio,robust_z,severity,direction
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-08,Wednesday,false,3114.0,539.5,2574.5,2,3013.0,203.0,17,1.034,0.336,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-09,Thursday,false,3599.0,623.5,2975.5,2,3013.0,203.0,17,1.194,1.947,LOW,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-10,Friday,false,3764.0,583.0,3181.0,2,3013.0,203.0,17,1.249,2.495,LOW,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-11,Saturday,true,2971.0,270.0,2701.0,2,2743.5,73.0,6,1.083,2.102,LOW,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-12,Sunday,true,1751.0,140.5,1610.5,2,2743.5,73.0,6,0.638,-9.17,HIGH,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-13,Monday,false,2666.0,459.5,2206.5,2,3013.0,203.0,17,0.885,-1.153,NONE,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-14,Tuesday,false,3013.0,499.0,2514.0,2,3013.0,203.0,17,1.0,0.0,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-15,Wednesday,false,3171.0,455.5,2715.5,2,3013.0,203.0,17,1.052,0.525,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-16,Thursday,false,3113.0,488.0,2625.0,2,3013.0,203.0,17,1.033,0.332,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-17,Friday,false,3573.0,486.0,3087.0,2,3013.0,203.0,17,1.186,1.861,LOW,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-18,Saturday,true,2710.0,198.0,2512.0,2,2743.5,73.0,6,0.988,-0.31,NONE,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-19,Sunday,true,2777.0,185.5,2591.5,2,2743.5,73.0,6,1.012,0.31,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-20,Monday,false,2503.0,460.0,2043.0,2,3013.0,203.0,17,0.831,-1.695,LOW,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-21,Tuesday,false,2348.0,482.0,1866.0,2,3013.0,203.0,17,0.779,-2.21,LOW,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-22,Wednesday,false,2797.0,454.5,2342.5,2,3013.0,203.0,17,0.928,-0.718,NONE,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-23,Thursday,false,2842.0,403.5,2438.5,2,3013.0,203.0,17,0.943,-0.568,NONE,DROP
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-24,Friday,false,3627.0,500.5,3126.5,2,3013.0,203.0,17,1.204,2.04,LOW,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-25,Saturday,true,2808.0,200.0,2608.0,2,2743.5,73.0,6,1.024,0.596,NONE,SURGE
00200864,Sth of Readers Cutting,Sth of Readers Cutting,2,Regional Continuous,-40.792698886171465,175.61740894451077,false,2026-04-26,Sunday,true,2662.0,198.0,2464.0,2,2743.5,73.0,6,0.97,-0.753,NONE,DROP
