SiteRef,site_name,state_highway,lat,lon,anomaly_days,high_days,lowest_ratio,highest_ratio
05900005,PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),59,-40.99971713775433,174.93968885757388,12,4,0.47,1.096
05910025,Mungavin Interchange  - SB Through Traffic,59,-41.140676190194064,174.84472805131065,11,1,0.614,1.226
05800009,PAUATAHANUI EAST - Telemetry Site 73,58,-41.12912548543537,174.97322556096154,11,4,0.154,1.183
00200906,Sth of Waiohine River Bridge,2,-41.06628242215614,175.48108371639498,10,4,0.523,1.27
01K61011,Peka Peka Int Southbound Off Ramp,1K,-40.838797480920086,175.08773044117214,10,5,0.595,1.374
00200899,Nth of Victoria St (Carterton),2,-41.026800429341385,175.52565455980582,10,3,0.675,1.258
01K51011,Peka Peka Int Northbound On Ramp,1K,-40.8387170967952,175.08769233932398,10,3,0.617,1.453
01N50999,PP2O â€“ Waitohu Stream NB Onramp,1N,-40.75536350669007,175.16158741397578,10,2,0.612,1.263
01K21027,Poplar Ave Int Mainline Northbound,1K,-40.94219713200247,174.99196408316823,10,2,0.624,1.318
01N31003,PP2O â€“ OGR SB Onramp,1N,-40.776574846838365,175.1424493397302,9,4,0.524,1.22
01N60999,PP2O â€“ Waitohu Stream SB Offramp,1N,-40.75537295347656,175.16156402684402,9,3,0.58,1.255
00200908,Nth of Wood St (Greytown),2,-41.08155016730462,175.45915476880592,9,2,0.489,1.172
00200957,Sth of Craigs Flat,2,-41.132689571832096,175.01881579929974,9,2,0.537,1.217
00220961,Haywards Interchange Decreasing,2,-41.15924609948022,174.97212196614228,9,5,0.537,1.232
01K21011,Peka Peka Int Mainline Northbound,1K,-40.8387170967952,175.08769233932398,9,1,0.692,1.376
00220972,Dowse Interchange - NB Through Traffic,2,-41.216938520307856,174.88049484446574,9,5,0.525,1.188
00210972,Dowse Interchange - SB Through Traffic,2,-41.21697201319148,174.8806508621504,9,5,0.539,1.171
00200954,Sth of Whakatiki St,2,-41.1212893293081,175.0417541084399,9,2,0.551,1.219
01N41073,Tinakori - NB Off Ramp,1N,-41.27671835316435,174.77306678667418,9,4,0.571,1.183
01N21011,PP2O Marycrest- NB Lanes,1N,-40.83505732872768,175.09081551482907,8,0,0.68,1.351
05930025,Mungavin Interchange - SB ON Ramp,59,-41.140676190194064,174.84472805131065,8,2,0.525,1.122
05300016,West of Princess St (Martinborough),53,-41.20805855757347,175.4491494712457,8,2,0.076,1.293
01N31060,Tawa Interchange - SB On Ramp,1N,-41.1871962036905,174.8323036727549,8,3,0.545,1.106
00200895,CLAREVILLE - Telemetry Site 80 - Nth of Whites Line,2,-41.002349572598405,175.55655704384654,8,1,0.619,1.238
01N21066,Newlands Interchange - NB Through Traffic,1N,-41.234364917467225,174.80652905547694,8,4,0.627,1.142
00220974,Nth of Petone Interchange - NB,2,-41.223999928369274,174.8581853527085,8,5,0.547,1.178
01N21060,Tawa Interchange - NB Through Traffic,1N,-41.187792901243505,174.83159293543275,8,3,0.641,1.142
00210979,NGAURANGA SH2 - Telemetry Site 3 - SB,2,-41.24907256298993,174.81174090920283,8,5,0.527,1.252
01N61072,Hawkestone Interchange - SB Off Ramp,1N,-41.27347974656232,174.77634625381995,8,2,0.533,1.204
01N61071,Murphy St - SB Off Ramp,1N,-41.2713682252429,174.77895149097247,8,4,0.331,1.454
00200890,South of Waingawa Bridge,2,-40.9655966847255,175.60779193023703,8,5,0.347,1.278
01N61073,Terrace - SB Off Ramp,1N,-41.282663652522835,174.77418182137018,8,5,0.311,1.331
00250978,Nth of Ngauranga Interchange - NB ON Ramp,2,-41.24370396933816,174.81924244548563,8,4,0.553,1.144
01N41003,PP2O â€“ OGR NB Offramp,1N,-40.776574846838365,175.1424493397302,8,2,0.613,1.174
01N21003,PP2O Otaki Gorge Road- NB Lanes,1N,-40.776574846838365,175.1424493397302,8,1,0.673,1.523
01N20999,PP2O Waitohu Stream - NB Lane,1N,-40.755371844268915,175.16162322282705,8,1,0.676,1.526
01K21023,Kapiti Rd Int Mainline Northbound,1K,-40.9100305404447,174.99769711876132,8,5,0.605,1.469
00200864,Sth of Readers Cutting,2,-40.79269888617147,175.61740894451077,8,1,0.638,1.249
00210965,KELSON - Telemetry Site 99 - SB Lanes,2,-41.1829583637543,174.94195132186667,8,6,0.533,1.236
01N01078,Cobham Drive (Sth of Evans Bay Parade) - Both,1N,-41.31449716944075,174.7995868543643,8,2,0.721,1.148
01K31023,Kapiti Rd Int Southbound On Ramp,1K,-40.91015329952142,174.99789078085897,8,5,0.635,1.094
01K41023,Kapiti Rd Int Northbound Off Ramp,1K,-40.909972854941095,174.997386676129,8,4,0.624,1.083
05920025,Mungavin Interchange - NB Through Traffic,59,-41.14091596410869,174.84437730897295,8,1,0.492,1.267
01N31072,Hawkestone Interchange - SB On Ramp,1N,-41.27570477419338,174.77397073587517,8,1,0.644,1.155
01K11027,Poplar Ave Int Mainline Southbound,1K,-40.94130705286988,174.99238880456812,8,1,0.651,1.177
01K31017,Te Moana Int Southbound On Ramp,1K,-40.870793791896254,175.03220160920256,8,4,0.649,1.156
00240974,Petone - NB OFF Ramp,2,-41.223999928369274,174.8581853527085,7,5,0.512,1.14
00200969,Nth of Block Rd,2,-41.201742155898295,174.9092077890815,7,5,0.582,1.184
01N31066,Newlands Interchange - SB On Ramp,1N,-41.2330994817486,174.8085465322337,7,5,0.519,1.146
