ANOMALY_ID,DETECTOR,DETECTOR_NAME,SERVICE_DATE,EVENT_HOUR,DAY_NAME,ENTITY_TYPE,ROUTE_ID,ROUTE_SHORT_NAME,MODE,STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,OBSERVED_VALUE,EXPECTED_VALUE,SCORE,SEVERITY,DETAIL
D05|36__0__105__NBM__13__3__13__3_20260823|20260421|23,D05,dwell_outlier,2026-04-21,16,Tuesday,STOP_EVENT,360,36,BUS,6330,Onepu Road at Lyall Bay Shops (near 145),-41.32612,174.79543,630.0,8.0,62.2,HIGH,36 held 630s at Onepu Road at Lyall Bay Shops (near 145) vs typical 8.0s
D05|36__0__107__NBM__37__4__37__4_20260823|20260421|21,D05,dwell_outlier,2026-04-21,16,Tuesday,STOP_EVENT,360,36,BUS,6327,Onepu Road at Coutts Street,-41.319932,174.795761,627.0,8.0,61.9,HIGH,36 held 627s at Onepu Road at Coutts Street vs typical 8.0s
D05|36__0__103__NBM__95__95_20260823|20260421|6,D05,dwell_outlier,2026-04-21,16,Tuesday,STOP_EVENT,360,36,BUS,5514,Courtenay Place at Courtenay Central,-41.29289647,174.77989,617.0,7.0,61.0,HIGH,36 held 617s at Courtenay Place at Courtenay Central vs typical 7.0s
D05|220__0__705__TZM__305__1__305__1_20260719|20260426|25,D05,dwell_outlier,2026-04-26,9,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,554.0,5.0,54.9,HIGH,220 held 554s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__729__TZM__304__304_20260719|20260426|25,D05,dwell_outlier,2026-04-26,15,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,553.0,5.0,54.8,HIGH,220 held 553s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__705__TZM__305__1__305__1_20260719|20260419|25,D05,dwell_outlier,2026-04-19,9,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,552.0,5.0,54.7,HIGH,220 held 552s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__729__TZM__304__304_20260719|20260419|25,D05,dwell_outlier,2026-04-19,15,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,550.0,5.0,54.5,HIGH,220 held 550s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__721__TZM__304__304_20260719|20260427|25,D05,dwell_outlier,2026-04-27,13,Monday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,551.0,6.0,54.5,HIGH,220 held 551s at Porirua Station - Stop A vs typical 6.0s
D05|220__0__751__TZM__302__2__302__2_20260719|20260405|25,D05,dwell_outlier,2026-04-05,7,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,552.0,7.0,54.5,HIGH,220 held 552s at Porirua Station - Stop A vs typical 7.0s
D05|220__0__713__TZM__304__304_20260719|20260426|25,D05,dwell_outlier,2026-04-26,11,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,550.0,5.0,54.5,HIGH,220 held 550s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__725__TZM__306__306_20260719|20260427|25,D05,dwell_outlier,2026-04-27,14,Monday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,551.0,6.0,54.5,HIGH,220 held 551s at Porirua Station - Stop A vs typical 6.0s
D05|220__0__421__TZM__308__1__308__1_20260719|20260418|25,D05,dwell_outlier,2026-04-18,11,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__445__TZM__305__2__305__2_20260719|20260418|25,D05,dwell_outlier,2026-04-18,17,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,551.0,7.0,54.4,HIGH,220 held 551s at Porirua Station - Stop A vs typical 7.0s
D05|220__0__463__TZM__312__2__312__2_20260719|20260418|25,D05,dwell_outlier,2026-04-18,23,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__725__TZM__306__306_20260719|20260405|25,D05,dwell_outlier,2026-04-05,14,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__709__TZM__306__306_20260719|20260419|25,D05,dwell_outlier,2026-04-19,10,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__413__TZM__305__2__305__2_20260719|20260418|25,D05,dwell_outlier,2026-04-18,9,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__413__TZM__305__2__305__2_20260719|20260404|25,D05,dwell_outlier,2026-04-04,9,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__717__TZM__306__306_20260719|20260412|25,D05,dwell_outlier,2026-04-12,12,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__457__TZM__302__3__302__3_20260719|20260418|25,D05,dwell_outlier,2026-04-18,20,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,5.0,54.4,HIGH,220 held 549s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__417__TZM__309__2__309__2_20260719|20260404|25,D05,dwell_outlier,2026-04-04,10,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,548.0,5.0,54.3,HIGH,220 held 548s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__737__TZM__304__304_20260719|20260427|25,D05,dwell_outlier,2026-04-27,17,Monday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,549.0,6.0,54.3,HIGH,220 held 549s at Porirua Station - Stop A vs typical 6.0s
D05|220__0__417__TZM__309__2__309__2_20260719|20260418|25,D05,dwell_outlier,2026-04-18,10,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,548.0,5.0,54.3,HIGH,220 held 548s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__409__TZM__306__1__306__1_20260719|20260411|25,D05,dwell_outlier,2026-04-11,8,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,550.0,7.0,54.3,HIGH,220 held 550s at Porirua Station - Stop A vs typical 7.0s
D05|220__0__705__TZM__305__1__305__1_20260719|20260405|25,D05,dwell_outlier,2026-04-05,9,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,548.0,5.0,54.3,HIGH,220 held 548s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__463__TZM__312__2__312__2_20260719|20260404|25,D05,dwell_outlier,2026-04-04,23,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,547.0,5.0,54.2,HIGH,220 held 547s at Porirua Station - Stop A vs typical 5.0s
D05|220__0__745__TZM__307__307_20260719|20260426|25,D05,dwell_outlier,2026-04-26,19,Sunday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,548.0,6.0,54.2,HIGH,220 held 548s at Porirua Station - Stop A vs typical 6.0s
D05|220__0__433__TZM__309__2__309__2_20260719|20260404|25,D05,dwell_outlier,2026-04-04,14,Saturday,STOP_EVENT,2200,220,BUS,2001,Porirua Station - Stop A,-41.1374245,174.8432338,547.0,5.0,54.2,HIGH,220 held 547s at Porirua Station - Stop A vs typical 5.0s
