DETECTOR,DETECTOR_NAME,SEVERITY,ANOMALIES,DATES_AFFECTED,ROUTES_AFFECTED,MEDIAN_SCORE
D01,delay_outlier,HIGH,6012,30,145,3.83
D01,delay_outlier,MEDIUM,37273,30,205,2.71
D02,bunching,HIGH,1619,20,9,4.27
D02,bunching,LOW,866,25,17,2.45
D02,bunching,MEDIUM,4248,25,19,2.82
D03,gapping,HIGH,112,13,4,3.89
D03,gapping,LOW,2040,21,13,1.86
D03,gapping,MEDIUM,364,19,7,2.82
D04,ghost_trip,HIGH,31,5,5,4.0
D05,dwell_outlier,HIGH,8234,30,111,3.9
D05,dwell_outlier,MEDIUM,9712,19,126,3.2
D06,teleport,HIGH,2486,7,104,4.36
D08,trip_truncation,HIGH,2,2,2,3.85
D08,trip_truncation,LOW,63,8,13,2.31
D08,trip_truncation,MEDIUM,1,1,1,2.71
D09,cluster_shock,HIGH,382,30,0,3.97
D09,cluster_shock,MEDIUM,1642,30,0,2.8
