truth_id,episode_type,route_id,route_short_name,mode,service_date,start_hour,duration_mins,magnitude,window_start_local,window_end_local,is_synthetic,FREQUENCY_CLASS
TRUTH_0054,INCIDENT_DELAY,2300,230,BUS,2026-04-15,6,60,5.6,2026-04-15 06:00:00,2026-04-15 07:00:00,true,FREQUENT
TRUTH_0078,INCIDENT_DELAY,240,24,BUS,2026-04-08,6,60,3.6,2026-04-08 06:00:00,2026-04-08 07:00:00,true,FREQUENT
TRUTH_0016,GPS_FAULT,250,25,BUS,2026-04-18,19,30,5.6,2026-04-18 19:00:00,2026-04-18 19:30:00,true,FREQUENT
TRUTH_0050,CANCELLATION,390,39,BUS,2026-04-14,13,60,3.2,2026-04-14 13:00:00,2026-04-14 14:00:00,true,INFREQUENT
TRUTH_0023,TRUNCATION,2200,220,BUS,2026-04-05,14,30,5.5,2026-04-05 14:00:00,2026-04-05 14:30:00,true,FREQUENT
TRUTH_0090,INCIDENT_DELAY,320,32x,BUS,2026-04-26,10,120,2.5,2026-04-26 10:00:00,2026-04-26 12:00:00,true,STANDARD
TRUTH_0064,GPS_FAULT,4410,441,OTHER,2026-04-13,9,30,5.3,2026-04-13 09:00:00,2026-04-13 09:30:00,true,INFREQUENT
TRUTH_0089,TRUNCATION,190,19,BUS,2026-04-20,9,30,3.1,2026-04-20 09:00:00,2026-04-20 09:30:00,true,STANDARD
TRUTH_0085,BUNCHING,5,HVL,RAIL,2026-04-19,12,90,5.0,2026-04-19 12:00:00,2026-04-19 13:30:00,true,FREQUENT
TRUTH_0067,BUNCHING,520,52,BUS,2026-04-01,6,60,2.8,2026-04-01 06:00:00,2026-04-01 07:00:00,true,FREQUENT
TRUTH_0013,BUNCHING,220,22,BUS,2026-04-18,18,150,5.1,2026-04-18 18:00:00,2026-04-18 20:30:00,true,FREQUENT
TRUTH_0065,TRUNCATION,70,7,BUS,2026-04-07,13,150,3.6,2026-04-07 13:00:00,2026-04-07 15:30:00,true,FREQUENT
TRUTH_0074,CANCELLATION,170,17,BUS,2026-04-27,14,150,5.1,2026-04-27 14:00:00,2026-04-27 16:30:00,true,FREQUENT
TRUTH_0061,BUNCHING,1130,113,BUS,2026-04-08,16,120,5.7,2026-04-08 16:00:00,2026-04-08 18:00:00,true,INFREQUENT
TRUTH_0036,INCIDENT_DELAY,2500,250,BUS,2026-04-25,18,120,3.4,2026-04-25 18:00:00,2026-04-25 20:00:00,true,STANDARD
TRUTH_0077,TRUNCATION,53,HVC,BUS,2026-04-06,8,90,5.3,2026-04-06 08:00:00,2026-04-06 09:30:00,true,INFREQUENT
TRUTH_0084,INCIDENT_DELAY,830,83,BUS,2026-04-23,18,90,2.4,2026-04-23 18:00:00,2026-04-23 19:30:00,true,FREQUENT
TRUTH_0070,GPS_FAULT,1100,110,BUS,2026-04-16,17,120,5.1,2026-04-16 17:00:00,2026-04-16 19:00:00,true,FREQUENT
TRUTH_0033,DWELL_SPIKE,2000,200,BUS,2026-04-14,8,30,2.3,2026-04-14 08:00:00,2026-04-14 08:30:00,true,STANDARD
TRUTH_0045,DWELL_SPIKE,1600,160,BUS,2026-04-26,7,30,4.3,2026-04-26 07:00:00,2026-04-26 07:30:00,true,FREQUENT
TRUTH_0057,DWELL_SPIKE,8520,852,OTHER,2026-04-27,10,120,2.9,2026-04-27 10:00:00,2026-04-27 12:00:00,true,INFREQUENT
TRUTH_0031,BUNCHING,7530,753,OTHER,2026-04-11,15,90,5.1,2026-04-11 15:00:00,2026-04-11 16:30:00,true,INFREQUENT
