SERVICE_DATE,DAY_TYPE,HOLIDAY_NAME,ANOMALIES,HIGH_SEVERITY,ROUTES_AFFECTED
2026-04-02,WEEKDAY,,4456,1418,114
2026-04-01,WEEKDAY,,4414,1520,122
2026-04-28,WEEKDAY,,3521,703,103
2026-04-29,WEEKDAY,,3496,767,107
2026-04-30,WEEKDAY,,3462,865,105
2026-04-07,WEEKDAY,,3382,1314,116
2026-04-09,WEEKDAY,,3140,701,106
2026-04-15,WEEKDAY,,3066,701,100
2026-04-17,WEEKDAY,,2956,606,114
2026-04-24,WEEKDAY,,2945,613,111
2026-04-10,WEEKDAY,,2944,650,101
2026-04-13,WEEKDAY,,2924,689,107
2026-04-14,WEEKDAY,,2921,622,110
2026-04-23,WEEKDAY,,2830,762,109
2026-04-08,WEEKDAY,,2825,651,113
2026-04-16,WEEKDAY,,2738,594,108
2026-04-20,WEEKDAY,,2730,701,112
2026-04-22,WEEKDAY,,2709,745,109
2026-04-21,WEEKDAY,,2618,689,108
2026-04-05,SUNDAY,,2150,797,46
2026-04-04,SATURDAY,,1824,461,54
2026-04-11,SATURDAY,,1459,248,57
2026-04-19,SUNDAY,,1405,352,45
2026-04-18,SATURDAY,,1338,235,50
2026-04-06,HOLIDAY,Easter Monday,1332,360,46
2026-04-03,HOLIDAY,Good Friday,1186,315,44
2026-04-25,HOLIDAY,ANZAC Day,1137,227,41
2026-04-12,SUNDAY,,1101,174,42
2026-04-26,SUNDAY,,1053,189,38
2026-04-27,HOLIDAY,ANZAC Day (observed),1025,209,42
