CAMERA_ID,CAMERA_NAME,DIRECTION,LAT,LON,IMAGE_URL,VIEW_URL
226,South along SH1 from Johnsonville Off-ramp,Southbound,-41.227951,174.808116,https://www.trafficnz.info/camera/226.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/226
227,South along SH1 from Newlands Rd,Southbound,-41.231877,174.809546,https://www.trafficnz.info/camera/227.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/227
228,South along SH1 in the Ngauranga Gorge,Southbound,-41.241,174.809,https://www.trafficnz.info/camera/228.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/228
230,North along Urban Mwy from Tinakori Rd On-ramp,Northbound,-41.276291,174.773064,https://www.trafficnz.info/camera/230.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/230
232,South along SH2 from Petone Off-ramp,Southbound,-41.224,174.86,https://www.trafficnz.info/camera/232.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/232
233,North along SH1 at Otaki,Northbound,-40.762458,175.155501,https://www.trafficnz.info/camera/233.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/233
277,North along SH1 north of Tawa Interchange,Northbound,-41.177675,174.829953,https://www.trafficnz.info/camera/277.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/277
278,South along SH2 at Melling Interchange,Southbound,-41.203,174.907,https://www.trafficnz.info/camera/278.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/278
279,South along SH59 at Paekakariki,Southbound,-40.999745,174.939671,https://www.trafficnz.info/camera/279.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/279
280,North along SH59 from Plimmerton Roundabout,Northbound,-41.083,174.869,https://www.trafficnz.info/camera/280.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/280
282,South along Urban Mwy from SH1/SH2 Interchange,Southbound,-41.248069,174.813576,https://www.trafficnz.info/camera/282.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/282
637,South along SH59 from Paremata Roundabout,Southbound,-41.105628,174.868586,https://www.trafficnz.info/camera/637.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/637
719,Looking north along SH59 toward Paekakariki,Northbound,-41.0287516,174.8993504,https://www.trafficnz.info/camera/719.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/719
720,Looking north along SH59 toward Pukerua Bay,Northbound,-41.057605,174.87605,https://www.trafficnz.info/camera/720.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/720
722,Looking south along SH2 toward Belmont,Southbound,-41.189939,174.929934,https://www.trafficnz.info/camera/722.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/722
787,South along Transmission Gully Mwy from Mackays Crossing Interchange,Southbound,-40.971228,174.983048,https://www.trafficnz.info/camera/787.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/787
789,South along Transmission Gully Mwy from Paekakariki Interchange,Southbound,-40.982679,174.970742,https://www.trafficnz.info/camera/789.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/789
790,South along Transmission Gully Mwy from SH58  Pauatahanui Interchange,Southbound,-41.11331,174.918456,https://www.trafficnz.info/camera/790.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/790
791,North along Transmission Gully Mwy from SH58  Pauatahanui Interchange,Northbound,-41.112172,174.917842,https://www.trafficnz.info/camera/791.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/791
792,South along Transmission Gully Mwy from Waitangirua Interchange,Southbound,-41.132137,174.901206,https://www.trafficnz.info/camera/792.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/792
793,North along Transmission Gully Mwy from Waitangirua Interchange,Northbound,-41.131795,174.90002,https://www.trafficnz.info/camera/793.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/793
794,South along Transmission Gully Mwy from Kenepuru Interchange,Southbound,-41.151869,174.844891,https://www.trafficnz.info/camera/794.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/794
795,South along SH1 from Churton Park Interchange,Southbound,-41.205749,174.818448,https://www.trafficnz.info/camera/795.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/795
796,North along SH1 from Churton Park Interchange,Northbound,-41.204499,174.821357,https://www.trafficnz.info/camera/796.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/796
801,South along Eastern Hutt Rd,Southbound,-41.160856,174.981161,https://www.trafficnz.info/camera/801.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/801
802,East along Stokes Valley Rd,Eastbound,-41.160891,174.981314,https://www.trafficnz.info/camera/802.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/802
804,North from south of the railway overpass bridge.,Northbound,-40.82047,175.10235,https://www.trafficnz.info/camera/804.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/804
805,South adjacent to the bend of Gear Road.,Southbound,-40.80976,175.11629,https://www.trafficnz.info/camera/805.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/805
806,South towards the School Road Overbirdge.,Southbound,-40.78968,175.13189,https://www.trafficnz.info/camera/806.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/806
807,North towards Otaki Offramp.,Northbound,-40.78129,175.13856,https://www.trafficnz.info/camera/807.jpg,https://www.journeys.nzta.govt.nz/traffic-cameras/wellington/807
