cell_id,cell_lat,cell_lon,event_date,event_hour,sensor_hits,metlink_hits,nzta_hits,total_hits,sources_hit,max_sev_rank,sources
"-41.27,174.78",-41.27,174.78,2026-04-03,19,1,4,4,9,3,3,"metlink, nzta, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,17,3,2,4,9,3,3,"metlink, nzta, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,8,1,3,4,8,3,3,"metlink, nzta, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-03,18,2,2,4,8,3,3,"metlink, nzta, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-21,11,1,2,4,7,3,3,"metlink, nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-21,14,2,4,1,7,3,3,"metlink, nzta, sensors"
"-41.19,174.83",-41.19,174.83,2026-04-03,7,1,1,4,6,3,3,"metlink, nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-21,10,1,3,1,5,3,3,"metlink, nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-21,11,1,3,1,5,3,3,"metlink, nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-20,18,1,2,1,4,3,2,"metlink, nzta, sensors"
"-41.31,174.8",-41.31,174.8,2026-04-21,16,1,1,1,3,3,3,"metlink, nzta, sensors"
"-41.22,174.81",-41.22,174.81,2026-04-21,13,1,1,1,3,3,3,"metlink, nzta, sensors"
"-41.25,174.81",-41.25,174.81,2026-04-21,11,1,1,1,3,3,3,"metlink, nzta, sensors"
"-41.29,174.78",-41.29,174.78,2026-04-20,16,1,54,0,55,2,3,"metlink, sensors"
"-41.29,174.78",-41.29,174.78,2026-04-10,16,2,48,0,50,2,3,"metlink, sensors"
"-41.28,174.78",-41.28,174.78,2026-04-20,16,1,44,0,45,2,3,"metlink, sensors"
"-41.29,174.75",-41.29,174.75,2026-04-23,16,1,23,0,24,2,3,"metlink, sensors"
"-41.31,174.78",-41.31,174.78,2026-04-21,16,1,19,0,20,2,3,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-21,7,0,15,4,19,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,16,0,12,5,17,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-21,16,0,13,4,17,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-20,7,0,14,2,16,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,7,0,10,5,15,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-21,9,1,13,0,14,2,3,"metlink, sensors"
"-41.31,174.78",-41.31,174.78,2026-04-20,16,1,13,0,14,2,3,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-21,16,0,10,4,14,2,3,"metlink, nzta"
"-41.28,174.77",-41.28,174.77,2026-04-20,16,0,10,3,13,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-10,18,2,11,0,13,2,3,"metlink, sensors"
"-41.3,174.78",-41.3,174.78,2026-04-20,7,1,12,0,13,2,3,"metlink, sensors"
"-41.31,174.78",-41.31,174.78,2026-04-20,7,1,11,0,12,2,3,"metlink, sensors"
"-41.29,174.78",-41.29,174.78,2026-04-10,19,2,10,0,12,2,3,"metlink, sensors"
"-41.27,174.78",-41.27,174.78,2026-04-20,7,0,10,1,11,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-03,22,0,10,1,11,2,3,"metlink, nzta"
"-41.27,174.78",-41.27,174.78,2026-04-06,8,0,8,3,11,2,3,"metlink, nzta"
"-41.29,174.78",-41.29,174.78,2026-04-10,17,2,9,0,11,2,3,"metlink, sensors"
"-41.14,174.84",-41.14,174.84,2026-04-14,16,0,10,1,11,2,3,"metlink, nzta"
"-41.13,174.84",-41.13,174.84,2026-04-21,16,0,10,1,11,2,3,"metlink, nzta"
"-41.22,174.81",-41.22,174.81,2026-04-20,7,0,9,1,10,2,3,"metlink, nzta"
"-41.25,174.81",-41.25,174.81,2026-04-20,16,0,9,1,10,2,3,"metlink, nzta"
"-41.14,174.84",-41.14,174.84,2026-04-21,19,0,5,5,10,2,3,"metlink, nzta"
"-41.13,174.84",-41.13,174.84,2026-04-21,7,0,9,1,10,2,3,"metlink, nzta"
