location,lat,lon,event_date,event_hour,is_weekend,arrivals,departures,total_movements,baseline_median,baseline_mad,baseline_n,ratio,robust_z,severity,direction
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,0,false,0,0,0,1.0,1.0,22,0.0,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,6,false,4,7,11,8.0,1.0,22,1.375,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,7,false,7,6,13,12.0,3.0,22,1.083,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,8,false,11,7,18,14.0,1.0,22,1.286,2.698,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,9,false,5,11,16,15.5,2.0,22,1.032,0.169,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,10,false,7,5,12,8.5,1.5,22,1.412,1.574,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,11,false,11,7,18,10.5,2.5,22,1.714,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,12,false,7,9,16,13.0,2.0,22,1.231,1.012,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,13,false,6,10,16,12.5,1.5,22,1.28,1.574,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,14,false,10,5,15,15.5,2.0,22,0.968,-0.169,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,15,false,9,4,13,13.0,2.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,16,false,7,15,22,18.5,3.0,22,1.189,0.787,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,17,false,6,7,13,13.5,1.5,22,0.963,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,18,false,5,7,12,10.0,2.0,22,1.2,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,19,false,7,6,13,11.5,2.5,22,1.13,0.405,NONE,SURGE
