street,n_countlines,countline_ids,centroid_lat,centroid_lon
Abel Smith St,4,51181;51182;51183;51238,-41.29524225,174.77099825
Adelaide Rd,5,47851;47852;47853;51219;54237,-41.3198843,174.7752884
Allington Rd,1,49977,-41.2888775,174.7231295
Ara Moana,3,53060;53200;53201,-41.290457499999995,174.78347016666666
Aro St,8,56030;56032;56033;57228;57229;57230;57231;57729,-41.295632187500004,174.768676625
Birdwood St,4,48050;48053;48054;48056,-41.286693625,174.754499375
Blackbridge Rd,3,49640;49641;49642,-41.26255866666667,174.76337683333335
Boulcott St,4,50140;50141;50142;50143,-41.28529075,174.77241525
Bowen St,9,50144;50145;50146;50147;50148;50149;56081;56082;56083,-41.27892411111112,174.769382
Broderick Rd,2,53169;53170,-41.22433275,174.80358124999998
Bunny St,3,57985;57990;57991,-41.279541,174.779129
Cambridge Ter,6,48069;48073;48110;48111;48112;48327,-41.29643125,174.78232808333337
Centennial Hwy,2,48037;48038,-41.2472125,174.81332774999998
Chaytor St,3,48051;48055;48062,-41.286696166666665,174.75466916666667
Churchill Dr,2,49638;49639,-41.2625855,174.76324075
Commonwealth,9,51949;51950;51951;53061;53062;53190;53191;54461;54462,-41.28858966666667,174.77992672222223
Courtenay Pl,9,48025;48066;48067;48068;48072;48302;48303;48304;52634,-41.2933465,174.78155761111114
Coutts St,2,53186;53187,-41.324708,174.80913175
Cuba St,23,51186;51187;51189;51191;56034;56035;56036;56041;56042;56043;56044;56046;56047;56049;56050;56052;56058;56062;56063;56064;56650;56653;56654,-41.29386826086956,174.77539532608697
Customhouse Quay,5,48294;48295;48296;50174;56249,-41.285625499999995,174.7768249
Dixon St,13,47925;47926;47937;48132;53174;53175;53176;57994;57995;58000;58001;58002;58003,-41.29151634615385,174.77587599999998
Elizabeth St,3,50132;50133;50134,-41.29579233333333,174.78331233333333
Emmett St,2,48299;48300,-41.311713,174.77939600000002
Evans Bay,5,52603;52622;52623;52624;52625,-41.3122914,174.7960571
Everton Ter,5,53177;53178;53179;53180;53181,-41.2854552,174.7734041
Featherston St,8,48063;48326;48872;48876;48877;57988;57992;57993,-41.281206937499995,174.77815893749997
Featherston St South,1,48323,-41.2811985,174.77829
Gee St,4,55194;55195;55196;55197,-41.153453375,174.83274275000002
Ghuznee St,11,50116;50117;50118;50119;50120;56037;56038;56039;56040;56655;56656,-41.29281945454545,174.77431968181818
Hawkestone St,4,52194;52197;52198;52199,-41.2749965,174.77773287500003
Herd St,5,53928;53931;53932;54337;56163,-41.2916561,174.7864762
Hutt Rd,14,48342;48343;48344;48345;48347;48348;49727;51709;51710;51724;51725;51726;54244;54245,-41.255640250000006,174.79804939285717
Hutt Rd South,1,54243,-41.260303500000006,174.789757
Jarden Mile,11,48039;48040;48042;51667;51668;51669;51671;51672;51673;51674;51723,-41.24734890909092,174.8134065909091
Jervois Quay,3,50176;50177;50178,-41.2849625,174.77790066666668
Johnsonville Rd,12,51771;51772;51773;51774;51775;51778;51779;51780;51784;51785;51786;51787,-41.22472995833334,174.80733683333335
Johnston St,4,48873;48874;48884;48885,-41.28288875,174.777135875
Kaiwharawhara Rd,1,48346,-41.260067,174.78965
Karo Dr,1,51190,-41.297115500000004,174.77345300000002
Karori Rd,10,49972;49973;49974;49983;49984;49985;50005;50006;50007;50009,-41.2841984,174.73931645
Kent Terrace,4,47869;47908;47909;47910,-41.29421775,174.78392025
Lady Elizabeth,5,50154;50155;50156;53938;53939,-41.2809878,174.78010869999997
Lambton Quay,8,48246;48247;48820;48821;48822;48824;48825;56248,-41.283734,174.77612393750002
Lambton Quay Turning,1,48826,-41.282076,174.7760315
Luxford St,6,47847;47848;47849;47850;51217;51218,-41.319862416666666,174.77541983333333
Majoribanks St,5,48057;48058;48059;48060;48061,-41.294044099999994,174.7841476
Manners St,5,47927;47934;47935;47936;56048,-41.2920231,174.77828689999998
Middleton Rd,3,53998;53999;54000,-41.22026616666667,174.8079781666667
Miramar Ave,3,48981;48986;48987,-41.31457583333333,174.8113175
Molesworth,3,52195;52196;58725,-41.27495166666667,174.7778728333333
Molesworth St,3,54238;54294;54296,-41.271882999999995,174.77769466666666
Moorefield Rd,7,52188;52189;52190;52191;52192;52193;53168,-41.224257357142854,174.8039072857143
Murphy St,2,54293;54295,-41.271766750000005,174.77779775
New Zealand State Highway1,1,51188,-41.2971705,174.773636
Onepu Rd,6,48309;55388;55389;55391;55392;55393,-41.31819041666666,174.7963346666667
Oriental Parade,5,53929;53930;53933;53934;54381,-41.2917004,174.7865784
Park St,5,48830;48831;48832;48834;48835,-41.2716542,174.7774703
Paterson St,6,55175;55176;55177;55178;55180;55182,-41.301279666666666,174.78306199999997
Queens Wharf,4,55954;55955;55956;56622,-41.284981125,174.77826499999998
Riddiford St,5,48297;48301;48800;48801;48802,-41.311751099999995,174.7792328
Rintoul St,1,48298,-41.311989,174.779083
Rongotai Rd,1,48310,-41.318256500000004,174.79640949999998
S Karori Rd,4,49975;49976;49978;49979,-41.28877675,174.723436375
Salamanca Rd,5,50723;50724;50725;50726;50745,-41.2887388,174.77188099999998
Shelly Bay Rd,1,48985,-41.3144645,174.81159200000002
Takapu Rd,2,55400;55401,-41.1855985,174.8281975
Taranaki Rd,1,48049,-41.29258,174.77874
Taranaki St,16,48021;48022;48023;48024;48043;48044;48045;48046;48047;50129;50130;50131;50735;50736;50737;50738,-41.294918843750004,174.777470125
Tasman St,6,53935;53936;53937;60729;60730;60731,-41.29958925,174.77803041666664
Tawa St,3,56238;56239;56371,-41.17570633333333,174.82721700000002
The Parade,16,54410;54411;54412;54413;55170;55171;55172;55402;55403;55940;56554;56909;56910;56911;56912;56913,-41.334610500000004,174.7733918125
Thorndon Quay,10,54164;54165;54166;57989;59090;59391;59392;59393;59394;59395,-41.274781899999994,174.78072890000004
Tinakori Rd,3,48828;48829;48833,-41.2717255,174.77752183333334
Todman St,5,52147;52148;52149;52150;52151,-41.3053139,174.7633926
Victoria St,4,57996;57997;57998;57999,-41.29129075,174.775156
Vivian St,7,56051;56053;56057;56061;56065;56651;56652,-41.29476085714286,174.77480092857144
Waterloo Quay,8,50152;50153;50157;50158;50159;50160;50161;50173,-41.279941875,174.7807073125
Whitmore St,2,48064;48065,-41.281142,174.77833199999998
Willeston St,1,48321,-41.2864875,174.776314
Willis St,4,48248;53171;53172;53173,-41.294307125,174.77180099999998
Willowbank Rd,1,55399,-41.18573,174.8280715
Woodward St,1,48823,-41.2820835,174.7758255
