street,countline_date,countline_hour,iso_dow,hour_of_week,is_weekend,total_count,pedestrian_count,cyclist_count,vehicle_count,active_countlines
Abel Smith St,2026-04-01,0,3,48,false,19,8,,11,4
Abel Smith St,2026-04-01,1,3,49,false,8,1,,7,2
Abel Smith St,2026-04-01,2,3,50,false,10,2,,8,2
Abel Smith St,2026-04-01,3,3,51,false,7,2,,5,2
Abel Smith St,2026-04-01,4,3,52,false,8,1,1,6,3
Abel Smith St,2026-04-01,5,3,53,false,25,8,1,16,3
Abel Smith St,2026-04-01,6,3,54,false,99,35,2,62,4
Abel Smith St,2026-04-01,7,3,55,false,284,102,10,172,4
Abel Smith St,2026-04-01,8,3,56,false,575,216,34,325,4
Abel Smith St,2026-04-01,9,3,57,false,362,115,19,228,4
Abel Smith St,2026-04-01,10,3,58,false,247,99,6,142,4
Abel Smith St,2026-04-01,11,3,59,false,260,102,11,147,4
Abel Smith St,2026-04-01,12,3,60,false,259,104,2,153,4
Abel Smith St,2026-04-01,13,3,61,false,262,116,8,138,4
Abel Smith St,2026-04-01,14,3,62,false,286,119,4,163,4
Abel Smith St,2026-04-01,15,3,63,false,312,156,8,148,4
Abel Smith St,2026-04-01,16,3,64,false,312,152,11,149,4
Abel Smith St,2026-04-01,17,3,65,false,406,222,14,170,4
Abel Smith St,2026-04-01,18,3,66,false,345,131,21,193,4
Abel Smith St,2026-04-01,19,3,67,false,238,78,10,150,4
Abel Smith St,2026-04-01,20,3,68,false,175,67,1,107,4
Abel Smith St,2026-04-01,21,3,69,false,144,46,2,96,4
Abel Smith St,2026-04-01,22,3,70,false,90,33,1,56,4
Abel Smith St,2026-04-01,23,3,71,false,39,16,1,22,3
Abel Smith St,2026-04-02,0,4,72,false,24,5,1,18,4
Abel Smith St,2026-04-02,1,4,73,false,25,14,,11,4
Abel Smith St,2026-04-02,2,4,74,false,10,3,,7,2
Abel Smith St,2026-04-02,3,4,75,false,7,,,7,1
Abel Smith St,2026-04-02,4,4,76,false,15,2,1,12,2
Abel Smith St,2026-04-02,5,4,77,false,31,4,,27,3
Abel Smith St,2026-04-02,6,4,78,false,87,32,,55,3
Abel Smith St,2026-04-02,7,4,79,false,289,104,9,176,4
Abel Smith St,2026-04-02,8,4,80,false,558,205,27,326,4
Abel Smith St,2026-04-02,9,4,81,false,337,108,15,214,4
Abel Smith St,2026-04-02,10,4,82,false,276,103,10,163,4
Abel Smith St,2026-04-02,11,4,83,false,253,105,4,144,4
Abel Smith St,2026-04-02,12,4,84,false,273,119,4,150,4
Abel Smith St,2026-04-02,13,4,85,false,267,103,5,159,4
Abel Smith St,2026-04-02,14,4,86,false,300,110,5,185,4
Abel Smith St,2026-04-02,15,4,87,false,346,146,15,185,4
Abel Smith St,2026-04-02,16,4,88,false,330,150,19,161,4
Abel Smith St,2026-04-02,17,4,89,false,399,177,13,209,4
Abel Smith St,2026-04-02,18,4,90,false,324,145,12,167,4
Abel Smith St,2026-04-02,19,4,91,false,235,90,8,137,4
Abel Smith St,2026-04-02,20,4,92,false,197,62,3,132,4
Abel Smith St,2026-04-02,21,4,93,false,168,45,3,120,4
Abel Smith St,2026-04-02,22,4,94,false,102,34,2,66,4
Abel Smith St,2026-04-02,23,4,95,false,65,19,2,44,3
Abel Smith St,2026-04-03,0,5,96,false,40,12,,28,4
Abel Smith St,2026-04-03,1,5,97,false,21,1,1,19,2
Abel Smith St,2026-04-03,2,5,98,false,9,5,,4,2
Abel Smith St,2026-04-03,3,5,99,false,8,,,8,1
Abel Smith St,2026-04-03,4,5,100,false,9,2,,7,2
Abel Smith St,2026-04-03,5,5,101,false,16,3,,13,3
Abel Smith St,2026-04-03,6,5,102,false,26,9,,17,4
Abel Smith St,2026-04-03,7,5,103,false,48,16,1,31,4
Abel Smith St,2026-04-03,8,5,104,false,111,30,5,76,4
Abel Smith St,2026-04-03,9,5,105,false,140,52,8,80,4
Abel Smith St,2026-04-03,10,5,106,false,155,68,3,84,4
Abel Smith St,2026-04-03,11,5,107,false,195,96,9,90,4
Abel Smith St,2026-04-03,12,5,108,false,184,75,8,101,4
Abel Smith St,2026-04-03,13,5,109,false,214,99,4,111,4
Abel Smith St,2026-04-03,14,5,110,false,215,106,10,99,4
Abel Smith St,2026-04-03,15,5,111,false,204,92,4,108,4
Abel Smith St,2026-04-03,16,5,112,false,253,115,4,134,4
Abel Smith St,2026-04-03,17,5,113,false,193,70,2,121,4
Abel Smith St,2026-04-03,18,5,114,false,197,85,,112,4
Abel Smith St,2026-04-03,19,5,115,false,146,49,3,94,4
Abel Smith St,2026-04-03,20,5,116,false,139,30,,109,4
Abel Smith St,2026-04-03,21,5,117,false,130,42,1,87,4
Abel Smith St,2026-04-03,22,5,118,false,104,27,3,74,4
Abel Smith St,2026-04-03,23,5,119,false,58,20,,38,4
Abel Smith St,2026-04-04,0,6,120,true,60,24,1,35,4
Abel Smith St,2026-04-04,1,6,121,true,17,6,,11,4
Abel Smith St,2026-04-04,2,6,122,true,11,,,11,1
Abel Smith St,2026-04-04,3,6,123,true,13,3,,10,2
Abel Smith St,2026-04-04,4,6,124,true,9,1,1,7,3
Abel Smith St,2026-04-04,5,6,125,true,9,1,,8,2
Abel Smith St,2026-04-04,6,6,126,true,28,9,1,18,3
Abel Smith St,2026-04-04,7,6,127,true,57,28,3,26,4
Abel Smith St,2026-04-04,8,6,128,true,127,38,17,72,4
Abel Smith St,2026-04-04,9,6,129,true,165,67,13,85,4
Abel Smith St,2026-04-04,10,6,130,true,215,107,10,98,4
Abel Smith St,2026-04-04,11,6,131,true,275,125,14,136,4
Abel Smith St,2026-04-04,12,6,132,true,287,134,4,149,4
Abel Smith St,2026-04-04,13,6,133,true,302,147,8,147,4
Abel Smith St,2026-04-04,14,6,134,true,251,107,6,138,4
Abel Smith St,2026-04-04,15,6,135,true,280,134,3,143,4
Abel Smith St,2026-04-04,16,6,136,true,253,124,7,122,4
