street,transport_class,countline_date,countline_hour,iso_dow,hour_of_week,is_weekend,total_count,active_countlines
Abel Smith St,Bus,2026-04-01,7,3,55,false,6,1
Abel Smith St,Bus,2026-04-01,8,3,56,false,7,1
Abel Smith St,Bus,2026-04-01,9,3,57,false,5,1
Abel Smith St,Bus,2026-04-01,10,3,58,false,2,1
Abel Smith St,Bus,2026-04-01,11,3,59,false,3,1
Abel Smith St,Bus,2026-04-01,12,3,60,false,5,1
Abel Smith St,Bus,2026-04-01,13,3,61,false,4,1
Abel Smith St,Bus,2026-04-01,14,3,62,false,7,1
Abel Smith St,Bus,2026-04-01,15,3,63,false,5,1
Abel Smith St,Bus,2026-04-01,16,3,64,false,5,1
Abel Smith St,Bus,2026-04-01,17,3,65,false,1,1
Abel Smith St,Bus,2026-04-01,18,3,66,false,3,1
Abel Smith St,Bus,2026-04-01,19,3,67,false,3,1
Abel Smith St,Bus,2026-04-02,7,4,79,false,3,1
Abel Smith St,Bus,2026-04-02,8,4,80,false,4,1
Abel Smith St,Bus,2026-04-02,9,4,81,false,4,1
Abel Smith St,Bus,2026-04-02,10,4,82,false,3,1
Abel Smith St,Bus,2026-04-02,11,4,83,false,2,1
Abel Smith St,Bus,2026-04-02,12,4,84,false,5,1
Abel Smith St,Bus,2026-04-02,13,4,85,false,4,1
Abel Smith St,Bus,2026-04-02,14,4,86,false,3,1
Abel Smith St,Bus,2026-04-02,15,4,87,false,1,1
Abel Smith St,Bus,2026-04-02,16,4,88,false,4,1
Abel Smith St,Bus,2026-04-02,18,4,90,false,6,1
Abel Smith St,Bus,2026-04-02,20,4,92,false,2,1
Abel Smith St,Bus,2026-04-03,8,5,104,false,1,1
Abel Smith St,Bus,2026-04-03,9,5,105,false,2,1
Abel Smith St,Bus,2026-04-03,12,5,108,false,2,1
Abel Smith St,Bus,2026-04-03,13,5,109,false,1,1
Abel Smith St,Bus,2026-04-03,15,5,111,false,1,1
Abel Smith St,Bus,2026-04-03,16,5,112,false,2,1
Abel Smith St,Bus,2026-04-03,17,5,113,false,4,1
Abel Smith St,Bus,2026-04-04,8,6,128,true,3,1
Abel Smith St,Bus,2026-04-04,9,6,129,true,2,1
Abel Smith St,Bus,2026-04-04,10,6,130,true,1,1
Abel Smith St,Bus,2026-04-04,11,6,131,true,3,1
Abel Smith St,Bus,2026-04-04,12,6,132,true,4,1
Abel Smith St,Bus,2026-04-04,15,6,135,true,1,1
Abel Smith St,Bus,2026-04-04,16,6,136,true,1,1
Abel Smith St,Bus,2026-04-04,17,6,137,true,2,1
Abel Smith St,Bus,2026-04-04,18,6,138,true,2,1
Abel Smith St,Bus,2026-04-04,19,6,139,true,2,1
Abel Smith St,Bus,2026-04-04,21,6,141,true,1,1
